MachineId,name,MainGroupLabel,MerkType,Power,ConstructionYear,Stage+Groep,num_days,avg_hours_per_day,avg_fuel_per_hour,avg_motorbelasting,avg_nox_per_liter,nox_per_day_kg_sensor,nox_per_day_kg_aub
324,15104,Hydraulische rupsgraafmachine,Caterpillar 323,122.0,2020,Stage-V+D,47,5.8,8.21,0.27,2.68,0.1,0.29
760,33531 - KR122,Mobiele graafmachine,Liebherr A918,120.0,2021,Stage-IV+D,92,6.25,7.64,0.25,3.44,0.15,0.29
802,BNSG 2,Hydraulische rupsgraafmachine,Komatsu PC 290-11 14m. RGE,160.0,2019,Stage-V+D,62,6.94,15.0,0.38,1.04,0.09,0.61
1280,TR402,Tractor,Massey-Ferguson 8S.305,215.0,2022,Stage-V+D,43,4.43,9.0,0.17,4.86,0.17,0.23
1290,15154,Hydraulische rupsgraafmachine,Kobelco SK50-SRX-7,29.0,2025,Stage-V+A,89,3.74,3.06,0.42,11.75,0.13,0.25
1393,18-10-04-0031	,Markeeringsmachine,Hofmann H33-4 (S4)- Extrude,84.0,2023,Stage-V+D,4,3.64,2.42,0.12,5.51,0.03,0.07
1590,K0717 Boven,Mobiele hijskraan,Tadano Faun ATF 70G-4L,129.0,2015,Stage-IV+D,40,3.51,4.09,0.13,9.47,0.14,0.09
1909,15-11-01-0013,Asfaltverwerking,Vogele 800-3i/AB220-2TV,55.4,2021,Stage-V+A,19,5.69,4.64,0.34,12.92,0.34,0.55
1911,15-12-01-0063,Asfaltverwerking,Vogele Super1800-3i/AB500-3TV,122.0,2019,Stage-IV+D,42,5.5,8.81,0.29,2.36,0.1,0.29
1912,15-12-01-0064,Asfaltverwerking,Vogele Super1800-3i/AB500-3TV,129.0,2021,Stage-V+D,59,7.18,10.02,0.31,0.68,0.04,0.43
1917,15-12-03-0017,Asfaltverwerking,Dynapac SD2500CS/V6000TVE,149.0,2024,Stage-V+D,78,7.46,11.41,0.31,1.04,0.08,0.51
1919,15-40-01-0004,Asfaltverwerking,Weiler E2850B,224.0,2020,Stage-V+D,26,8.0,12.5,0.22,3.75,0.29,0.6
1920,15-40-03-0001,Asfaltverwerking,Vogele MT3000-3i,160.0,2018,Stage-V+D,37,9.1,9.06,0.23,2.04,0.11,0.51
1951,16-25-03-0052,Asfaltverdichting,Hamm HW90B/10 drierolwals (REBUILD) H123,45.0,2019,Stage-V+A,11,7.47,4.19,0.37,13.37,0.41,0.66
1957,16-30-05-0029,Asfaltverdichting,Hamm HD10VO Tandem Trilwals + kantsn +os,18.5,2021,Stage-V+A,2,2.62,1.51,0.33,15.33,0.06,0.1
1970,20-10-06-0035,Hydraulische rupsgraafmachine,Caterpillar 326F,149.0,2018,Stage-IV+D,31,5.73,14.08,0.38,1.36,0.11,0.47
1976,30-12-01-0005,Betonverwerking,Wirtgen SP25i ,116.0,2022,Stage-V+D,13,6.49,7.34,0.25,6.42,0.17,0.31
2222,0104,Asfaltverdichting,Bomag BW213D-5,100.0,2025,Stage-V+D,24,3.9,8.24,0.33,2.0,0.05,0.18
2223,0105,Asfaltverdichting,Bomag BW213D-5,100.0,2025,Stage-V+D,15,2.37,11.62,0.46,1.59,0.04,0.16
2224,0082,Lader,Volvo L70H,115.0,2020,Stage-V+D,6,6.13,4.17,0.14,7.38,0.18,0.17
2225,0353,Rupshijskraan,Sennebogen 670e,321.0,2016,Stage-IV+D,5,2.67,5.37,0.07,22.96,0.34,0.09
2226,0331 ,Generatoren,Bredenoord Bryan 40 35kvA,41.9,2024,Stage-V+A,1,12.13,2.22,0.21,20.96,0.56,0.6
2227,0332,Generatoren,Bredenoord Bryan 40 35kVA,41.9,2024,Stage-V+A,15,2.64,6.18,0.59,16.76,0.25,0.31
2482,Biesbosch - Boegschroef,Heischip,Paccar MX11-300 H3,300.0,0,Stage-IV+D,4,2.38,6.58,0.09,3.43,0.05,0.1
2483,Biesbosch - Kraan,Vaste hijskraan,Woltman THW A1200 PDS,310.0,0,Stage-V+D,10,4.84,10.47,0.14,10.59,0.52,0.29
